"cod_ass";"nome";"ativo";"mostra_sigcam";"mostra_agendamento";"prazo_previsto";"ativo_online";"codigo_rg";"descricao_online";"tipo_requerente";"proc_automatico";"departamento"
"152";"Devolução de Taxa - SOEA";"S";"N";"N";NULL;"N";"24";"Devolução de Taxa - SOEA";;"N";"5015"
"153";"Aditivo Contratual";"S";"N";"N";NULL;"N";"0";;;"N";"14"
"154";"Cadastro de Pessoa Juridica";"S";"S";"N";NULL;"S";"833";"Cadastro de Pessoa Juridica";"E,";"N";"5098"
"155";"Assistência Técnica";"S";"N";"N";NULL;"N";"0";;;"N";"5069"
"156";"Cancelamento de Registro de Pessoa Jurídica via Receita Federal";"S";"N";"N";NULL;"N";"0";;;"N";"5098"
"157";"Representantes - Assessoria Institucional/Interior";"S";"N";"N";NULL;"N";"0";;;"N";"5016"
"158";"Nomeação/Destituição de Inspetor - Assessoria Institucional/Interior";"S";"N";"N";NULL;"N";"0";;;"N";"5016"
"159";"Solicitações das Inspetorias - Assessoria Institucional/Interior";"S";"N";"N";NULL;"N";"0";;;"N";"5016"
"160";"Cadastro de Projeto de Concessão de Patrocínio";"S";"S";"N";"Variável";"S";"834";"Cadastro de Projeto de Concessão de Patrocínio";"E,";"N";"5089"
"161";"Contratação de Estagiários";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"162";"Diversos - Área de Pessoal";"S";"N";"N";NULL;;"0";;;"N";"5027"
"163";"Certidão Específica - Sem Registro";"S";"N";"N";NULL;"S";"835";"Certidão específica para determinada finalidade";"L,";"N";"9"
"164";"Certidão de Acervo Operacional";"S";"S";"N";NULL;"S";"836";"Certidão de Acervo Operacional - Empresa";"E,";"N";
"165";"Alteração PCA - Ano Execução";"S";"N";"N";NULL;;"0";;;"N";"5085"
"166";"Convênio";"S";"S";"N";NULL;"N";"0";;;"N";"5057"
"167";"Acordo de Cooperação";"S";"S";"N";NULL;"N";"0";;;"N";"5057"
"168";"Acordo de Cooperação Técnica";"S";"S";"N";NULL;"N";"0";;;"N";"5057"
"169";"Diversos - Parcerias e Convênios";"S";"S";"N";NULL;"N";"0";;;"N";"5057"
"170";"Alteração PCA - Ano Elaboração";"S";"N";"N";NULL;;"0";;;"N";"5085"
"171";"Plano de Contratações Anual";"S";"N";"N";NULL;;"0";;;"N";"5085"
"172";"Alteração de dado cadastral de contato";"S";"N";"N";NULL;"N";"0";;"P,";"N";
"173";"Liberação de ART Cargo/Função";"S";"S";"N";NULL;"N";"0";"Liberação de ART Cargo/Função";"P,";"N";"11"
"174";"LGPD - Requisições";"S";"N";"N";"Variável";"S";"837";"SOLICITAÇÕES DIVERSAS vinculadas à Lei Geral de Proteção de Dados (Lei 13.709/2018 - LGPD) que não se relacione diretamente ao usuário e titular de dados pessoais";"P,E,L,";"N";"5067"
"175";"Requisições LGPD Titular";"S";"N";"N";"15 (quinze) dias úteis, podendo ser prorrogado caso seja solicitado providências adicionais ao Requerente ou necessite de uma análise mais criteriosa, desde que devidamente justificado";"S";"838";"SOLICITAÇÕES vinculadas à Lei Geral de Proteção de Dados (Lei 13.709/2018 - LGPD) no que diz respeito ao direito do titular, de acordo com o art. 18 da LGPD";"P,E,L,";"N";
"176";"Financeiro - IR Fornecedor";"S";"S";"N";NULL;"N";"0";;;"N";"5015"
"177";"Financeiro - IR Alugueis";"S";"S";"N";NULL;"N";"0";;;"N";"5015"
"178";"Financeiro - ISSQN";"S";"S";"N";NULL;"N";"0";;;"N";"5015"
"179";"Financeiro - INSS";"S";"S";"N";NULL;"N";"0";;;"N";"5015"
"180";"Financeiro - Resgate de Depósitos Judiciais";"S";"S";"N";NULL;"N";"0";;;"N";"5015"
"181";"Proposta Orçamentária";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"182";"Proposta de Reformulação Orçamentária";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"183";"Proposta de Transposição Orçamentaria";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"184";"Prestação de Contas Mensais";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"185";"Prestação de Contas do Exercício";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"186";"Diversos - Contabilidade";"S";"S";"N";NULL;"N";"0";;;"N";"13"
"187";"Certidão Negativa de Obras/Serviços Em Andamento";"S";"N";"N";"05 (cinco) dias úteis.";"S";"839";"Certidão Negativa de Obras/Serviços Em Andamento";"P,E,";"N";"11"
"188";"Pagamento de emolumentos cartorários";"S";"N";"N";NULL;"N";"0";;;"N";"4"
"189";"Patrocínio - Cadastro do Responsável Pelo Projeto";"N";"N";"N";"PRAZO PREVISTO: 02 (dois) dias úteis podendo ser alterado caso seja solicitado providências adicionais ao Requerente ou se necessitar de consulta ao Colegiado.";"N";"840";"Patrocínio - Cadastro do Responsável Pelo Projeto";"P,L,";"N";
"190";"Contratação Direta - Dispensa";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"191";"Contratação Direta - Inexigibilidade";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"192";"Leilão";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"193";"Processo Sancionador - Lei 14.133/2021";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"194";"Renovação do Terço do Plenário";"S";"S";"N";NULL;"N";"0";;;"N";"5043"
"195";"Revisão anual";"S";"S";"N";NULL;"N";"0";;;"N";"5043"
"196";"Diversos - Assessoria de Apoio às Inspetorias";"S";"N";"N";NULL;"N";"0";;;"N";"5016"
"197";"Credenciamento";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"198";"Sistema de Registro de Preços";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"199";"Contratação Direta - Dispensa Eletrônica";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"200";"Diálogo Competitivo";"S";"N";"N";NULL;"N";"0";;;"N";"5085"
"201";"Infrações em veículos";"S";"N";"N";NULL;"N";"0";;;"N";"14"
"202";"Nomeação/Destituição de Representante Municipal do Crea-GO - Assessoria Institucional/Interior";"S";"N";"N";NULL;"N";"0";;;"N";"5016"
"203";"Depósitos Cartorários";"S";"N";"N";NULL;"N";"0";;;"N";"5015"
"204";"Registro Profissional/Expedição de Carteira - Registro Único";"S";"S";"N";NULL;"S";"844";"Fazer Registro no CREA-GO (Para profissionais que vão fazer seu primeiro registro pelo RU)";"E,";"N";"5098"
"205";"Visto em Registro de Profissional - RU";"N";"S";"N";"1 (hum) dia útil";"S";"843";"Efetivar Visto de Profissional com origem em outro CREA via Registro Único";"P,L,";"N";"9"
"206";"Diversos - Área de Pessoal - INSS";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"207";"Diversos - Área de Pessoal - IRRF";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"208";"Diversos - Área de Pessoal - FGTS";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"209";"Diversos - Área de Pessoal - PIS/PASEP";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"210";"Diversos - Área de Pessoal - FOLHA MENSAL";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"211";"Diversos - Área de Pessoal - FERIAS";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"212";"Diversos - Área de Pessoal - BANCO BRASIL";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"213";"Diversos - Área de Pessoal - SENGE";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"214";"Diversos - Área de Pessoal - SINDECOF";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"215";"Diversos - Área de Pessoal - ASCREAGO";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"216";"Diversos - Área de Pessoal - MUTUA";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"217";"Diversos - Área de Pessoal - PENSAO ALIMENTICIA";"S";"N";"N";NULL;"N";"0";;;"N";"5027"
"218";"Cadastro de Consórcio";"S";"N";"N";NULL;"S";"845";"Cadastro de Consórcio";"E,";"N";"5098"
"219";"Proposta de Remanejamento Orçamentário";"S";"S";"N";NULL;"N";"0";;;"N";"13"
