"Codigo","Descricao","Prazo_Corrente","Prazo_Intermediario","Destinacao","Palavras_Chave"
"244","REGISTRO DE OBRA INTELECTUAL","01 ano","* (ver legislação de direito autoral)","Guarda Permanente","registro;obra intelectual;direito autoral;produção científica"
"250","COMPROVAÇÃO DO EXERCÍCIO PROFISSIONAL","","","(SUBCLASSE - ver grupos 251, 252, 253)","comprovação;exercício;profissional;acervo técnico"
"251","SOLICITAÇÃO DE ACERVO TÉCNICO","01 ano","20 anos","Eliminação","solicitação;acervo técnico;CAT;comprovação;atestado;certidão acervo"
"252","INCORPORAÇÃO DE ATIVIDADES DESENVOLVIDAS NO EXTERIOR","01 ano","20 anos","Eliminação","incorporação;atividades;exterior;profissional"
"253","CANCELAMENTO DO ACERVO TÉCNICO","01 ano","05 anos","Eliminação","cancelamento;acervo técnico;CAT"
"300","FISCALIZAÇÃO","","","(CLASSE - ver subgrupos)","fiscalização;fiscalizar"
"301","PLANEJAMENTO E AVALIAÇÃO DA FISCALIZAÇÃO","04 anos","10 anos","Guarda Permanente","planejamento;avaliação;fiscalização;programa"
"302","AUDITORIA DA FISCALIZAÇÃO","02 anos","10 anos","Guarda Permanente","auditoria;fiscalização;controle"
"310","VERIFICAÇÃO DE CONFORMIDADE","","","(SUBCLASSE - ver grupos 311 e 312)","verificação;conformidade;fiscalização;inspeção;vistoria"
"311","INSPEÇÃO PERIÓDICA","01 ano","05 anos","Eliminação","inspeção;periódica;fiscalização;auto de infração;vistoria;verificação"
"312","APURAÇÃO DE DENÚNCIA","01 ano","05 anos","Eliminação","apuração;denúncia;fiscalização;irregularidade;infração;reclamação"
"320","INSTRUÇÃO, JULGAMENTO E APLICAÇÃO DE PENALIDADE","","","(SUBCLASSE - ver grupos 321 e 322)","instrução;julgamento;penalidade;processo ético;disciplinar;sanção"
"321","DESCUMPRIMENTO ÀS NORMAS ÉTICAS","Até a conclusão administrativa ou trânsito em julgado","20 anos","Guarda Permanente","descumprimento;normas éticas;processo ético;penalidade;sanção;infração ética;código de ética"
"322","DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS","Até a conclusão administrativa ou trânsito em julgado","06 anos","Eliminação","descumprimento;dispositivos legais;infração;penalidade;auto;notificação"
"400","DESENVOLVIMENTO E VALORIZAÇÃO PROFISSIONAL","","","(CLASSE - ver subgrupos)","desenvolvimento;valorização;profissional"
"401","PLANEJAMENTO E AVALIAÇÃO ANUAL DE DESENVOLVIMENTO PROFISSIONAL","04 anos","10 anos","Guarda Permanente","planejamento;avaliação;desenvolvimento;profissional"
"402","AUDITORIA DE DESENVOLVIMENTO E VALORIZAÇÃO PROFISSIONAL","02 anos","10 anos","Guarda Permanente","auditoria;desenvolvimento;valorização;profissional"
"403","CREDENCIAMENTO DE PROFISSIONAIS E INSTITUIÇÕES","Até o cancelamento do credenciamento","10 anos","Eliminação","credenciamento;profissionais;instituições;cadastro;credencial"
"410","PROMOÇÃO DE ATIVIDADE DE CAPACITAÇÃO PROFISSIONAL","","","(SUBCLASSE - ver grupos 411 e 412)","promoção;capacitação;profissional;treinamento;educação"
"411","ORGANIZAÇÃO E AVALIAÇÃO DE CAPACITAÇÃO PROFISSIONAL","02 anos","10 anos","Guarda Permanente","organização;avaliação;capacitação;profissional;treinamento;planejamento"
"412","EXECUÇÃO DE CAPACITAÇÃO PROFISSIONAL","01 ano","01 ano","Eliminação","execução;capacitação;profissional;evento;curso;palestra"
"420","APOIO E FOMENTO PARA DESENVOLVIMENTO PROFISSIONAL","","","(SUBCLASSE - ver grupos 421, 422, 423)","apoio;fomento;desenvolvimento;profissional;curso;qualificação"
"421","CADASTRAMENTO E APOIO DE CURSOS DE QUALIFICAÇÃO PROFISSIONAL","Até a aprovação das contas pelo Tribunal de Contas","05 anos a contar da aprovação das contas","Eliminação","cadastramento;apoio;cursos;qualificação;profissional;capacitação"
"422","APOIO A CURSOS E EVENTOS DE DESENVOLVIMENTO PROFISSIONAL","Até a aprovação das contas pelo Tribunal de Contas","05 anos a contar da aprovação das contas","Eliminação","apoio;cursos;eventos;desenvolvimento;profissional;seminário;congresso"
"423","APOIO À PRODUÇÃO TÉCNICO-CIENTÍFICA DA PROFISSÃO REGULAMENTADA","Até a aprovação das contas pelo Tribunal de Contas","05 anos a contar da aprovação das contas","Eliminação","apoio;produção;técnico-científica;profissão regulamentada;publicação;pesquisa"
"430","AÇÕES DE VALORIZAÇÃO PROFISSIONAL","","","(SUBCLASSE - ver grupos 431 e 432)","ações;valorização;profissional;campanhas;prêmios"
"431","REALIZAÇÃO DE CAMPANHAS INSTITUCIONAIS","01 ano","15 anos","Guarda Permanente","campanhas;institucionais;valorização;profissional;divulgação;publicidade"
"432","PREMIAÇÕES","02 anos","10 anos","Guarda Permanente","premiações;prêmio;valorização;profissional;distinção"
