CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Assessoria de Engenharia e Agronomia Pública,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Assessoria de Entidades,001,Meio,RELAÇÃO INTERINSTITUCIONAL,Até encerramento definitivo*,Data de encerramento definitivo (sem renovação),20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Assessoria de Planejamento,015.1,Meio,PLANEJAMENTO INSTITUCIONAL,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Assessoria de Relações Institucionais,001,Meio,RELAÇÃO INTERINSTITUCIONAL,Até encerramento definitivo*,Data de encerramento definitivo (sem renovação),20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Assessoria Parlamentar,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Assistência Técnica,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Atualização de Capital Social via Receita Federal,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Atualização de endereço PJ via Receita Federal,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Baixa de Obra/Serviços,243.1,Fim,SOLICITAÇÃO DE BAIXA,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Baixa de RT a Pedido da Empresa,243.1,Fim,SOLICITAÇÃO DE BAIXA,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Baixa de RT a Pedido do Profissional,243.1,Fim,SOLICITAÇÃO DE BAIXA,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Baixa de RT Por Pessoa Jurídica,243.1,Fim,SOLICITAÇÃO DE BAIXA,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
BAIXA POR PESSOA JURIDICA DE RT,243.1,Fim,SOLICITAÇÃO DE BAIXA,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Cadastramento de Curso em Polo,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Cadastramento de Cursos de Graduação,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Cadastramento de Cursos de Pós-graduação,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Cadastramento de Instituição de Ensino,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Cadastramento de Polo,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Cadastro de Consórcio,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cadastro de Fornecedores,030.02,Meio,CADASTRAMENTO DE FORNECEDORES E DE PRESTADORES DE SERVIÇOS,5 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Cadastro de Pessoa Jurídica,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cadastro de Projeto de Concessão de Patrocínio,422,Fim,APOIO A CURSOS E EVENTOS DE DESENVOLVIMENTO PROFISSIONAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Propostas não aprovadas ou sem pagamento efetivado: eliminar em 2 anos.
Cancelamento de ART,253,Fim,CANCELAMENTO,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Cancelamento de CAT,243.2,Fim,SOLICITAÇÃO DE CANCELAMENTO. NULIDADE,01 ano,Data de envio ao arquivo digital (escaninho padrão),06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Cancelamento de Registro de Pessoa Jurídica,221.2,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cancelamento de Registro de Pessoa Jurídica via Receita Federal,221.2,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cancelamento de Registro de Profissional por Óbito,212.3,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cancelamento de Registro Profissional a Pedido,212.3,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Cancelamento de Visto de Profissional a Pedido,212.3,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Carta Convite - Material de Expediente,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão de Acervo Operacional,251,Fim,SOLICITAÇÃO DE ACERVO TÉCNICO,01 ano,Data de envio ao arquivo digital (escaninho padrão),20 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Certidão de Acervo Técnico,251,Fim,SOLICITAÇÃO DE ACERVO TÉCNICO,01 ano,Data de envio ao arquivo digital (escaninho padrão),20 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
