CREA-GO  |  Mapeamento de Assuntos do MED → Tabela de Temporalidade e Destinação (TTDD),,,,,,,,,
Versão de referência TTDD: Atividades-Meio (2024) e Atividades-Fim (2019)  |  Elaborado por: Erica Aihara — DPO/CREA-GO  |  Versão 3 — Março 2026,,,,,,,,,
ASSUNTO (MED),"CÓDIGO
TTDD","TABELA
(Meio/Fim)",DESCRITOR TTDD,PRAZO CORRENTE,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DO INTERMEDIÁRIO",PRAZO INTERMEDIÁRIO,"DADO A SER INSERIDO NO MED PARA
INICIAR CONTAGEM DA ELIMINAÇÃO",DESTINAÇÃO FINAL,OBSERVAÇÃO / VALIDAÇÃO DPO
Diálogo Competitivo,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diárias,028.11,Meio,COM ÔNUS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Confirmado TTDD Meio 2024: intermediário 5 anos (código 028.11).
Diversos - Administrativo,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Área de Pessoal,023.6,Meio,AUXÍLIOS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, grupo 023.6)."
Diversos - Área de Pessoal - ASCREAGO,025.11,Meio,CELEBRAÇÃO DE CONVÊNIOS DE ASSISTÊNCIA À SAÚDE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, código 025.11)."
Diversos - Área de Pessoal - BANCO BRASIL,023.6,Meio,AUXÍLIOS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, grupo 023.6)."
Diversos - Área de Pessoal - FERIAS,023.167,Meio,UM TERÇO DE FÉRIAS. ABONO PECUNIÁRIO,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Diversos - Área de Pessoal - FGTS,023.175,Meio,CONSIGNAÇÕES FACULTATIVAS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),7 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Área de Pessoal - FOLHA MENSAL,023.6,Meio,AUXÍLIOS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, grupo 023.6)."
Diversos - Área de Pessoal - INSS,023.181,Meio,PASEP / PIS,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Área de Pessoal - IRRF,023.185,Meio,IMPOSTO DE RENDA,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Diversos - Área de Pessoal - MUTUA,025.11,Meio,CELEBRAÇÃO DE CONVÊNIOS DE ASSISTÊNCIA À SAÚDE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, código 025.11)."
Diversos - Área de Pessoal - PENSAO ALIMENTICIA,026.61,Meio,PENSÃO PROVISÓRIA. PENSÃO TEMPORÁRIA,Fim da vigência da pensão*,Data de fim da vigência,5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: evento = fim da vigência da pensão; intermediário 5 anos (TTDD Meio 2024, código 026.61)."
Diversos - Área de Pessoal - PIS/PASEP,023.181,Meio,PASEP / PIS,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Área de Pessoal - SENGE,023.183,Meio,CONTRIBUIÇÃO SINDICAL DO EMPREGADOR,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Diversos - Área de Pessoal - SINDECOF,023.183,Meio,CONTRIBUIÇÃO SINDICAL DO EMPREGADOR,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Diversos - Assessoria de Apoio às Inspetorias,015.2,Meio,ACOMPANHAMENTO DAS ATIVIDADES,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Diversos - Assessoria Técnica,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Diversos - Contabilidade,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Departamento Técnico,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Com valor previdenciário: 52 anos.
Diversos - Financeiro,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Fiscalização,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Ouvidoria,002.31,Meio,TRATAMENTO DE MANIFESTAÇÃO,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Parcerias e Convênios,001,Meio,RELAÇÃO INTERINSTITUCIONAL,Até encerramento definitivo*,Data de encerramento definitivo (sem renovação),20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Diversos - Presidência,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Protocolo,002.31,Meio,TRATAMENTO DE MANIFESTAÇÃO,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Diversos - Registro,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Diversos - SIGCAM/SIGPLEN,013.1,Meio,OPERACIONALIZAÇÃO,2 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Diversos - Tecnologia da Informação,066.2,Meio,INSTALAÇÃO DE EQUIPAMENTOS,Até encerramento do contrato/projeto*,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Estudo para Renovação do Terço,014.1,Meio,NOMEAÇÃO E ATUAÇÃO DA COMISSÃO ELEITORAL,Até a conclusão do processo eleitoral*,Data de envio ao arquivo digital (escaninho padrão),1 ano,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Exoneração de Cargo,023.6,Meio,AUXÍLIOS,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Corrigido v3: intermediário 5 anos (TTDD Meio 2024, grupo 023.6)."
Exorbitância de Atribuição,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Expedição de Carteira,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Falta de ART de Cargo/Função,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Financeiro - INSS,023.181,Meio,PASEP / PIS,5 anos,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Financeiro - IR Alugueis,023.185,Meio,IMPOSTO DE RENDA,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Financeiro - IR Fornecedor,023.185,Meio,IMPOSTO DE RENDA,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Financeiro - ISSQN,012,Meio,HABILITAÇÃO JURÍDICA E REGULARIZAÇÃO FISCAL,Até encerramento da obrigação fiscal*,Data de envio ao arquivo digital (escaninho padrão),2 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Financeiro - Resgate de Depósitos Judiciais,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Fiscalização da Atividade Profissional - Proativa,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Fiscalização da Atividade Profissional - Reativa,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Fiscalização de Acervo Técnico,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Fiscalização de Acobertamento,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Fiscalização de Atividade Profissional,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Inclusão de Curso,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Inclusão de Responsável Técnico/Integrante,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Inclusão de RT a Pedido da Empresa,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Inclusão de RT a Pedido do Profissional,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Inclusão de RT Por Pessoa Jurídica,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Infrações em veículos,031.42,Meio,MATERIAL DE CONSUMO,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Confirmado TTDD Meio 2024: código 031.42, intermediário 5 anos após RG."
Inscrição em Processo Seletivo Simplificado,024.12,Meio,INSCRIÇÃO E FREQUÊNCIA,5 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Inscrição para Concurso Público Nacional,024.12,Meio,INSCRIÇÃO E FREQUÊNCIA,5 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,
Inspeção Preventiva,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Inspeção Preventiva Integrada,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Interrupção de Registro de Pessoa Jurídica,221.2,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Situação reversível; prazo inicia somente após encerramento definitivo.
Interrupção de Registro de Profissional,212.3,Fim,CANCELAMENTO TEMPORÁRIO OU DEFINITIVO DE REGISTRO,Até a conclusão do processo,Data de conclusão/trânsito em julgado do processo,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Situação reversível; prazo inicia somente após encerramento definitivo.
Jeton,023.152,Meio,JETONS,7 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Eliminação,"Corrigido v3: código 023.152 (JETONS), 7 anos corrente, sem fase intermediária (TTDD Meio 2024)."
Leilão,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Leilão - Bens Inservíveis,031.11,Meio,MATERIAL PERMANENTE,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,"Confirmado TTDD Meio 2024: código 031.11, intermediário 5 anos após RG."
LGPD - Requisições,002.11,Meio,PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO,Até o encerramento do atendimento*,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Liberação de ART,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Liberação de ART c/ CAT,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Liberação de ART Cargo/Função,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Listagens/Etiquetas,002.12,Meio,ACOMPANHAMENTO DO ATENDIMENTO AO CIDADÃO,2 anos,Data de envio ao arquivo digital (escaninho padrão),–,–,Guarda Permanente,
Nomeação/Destituição de Inspetor,015.1,Meio,PLANEJAMENTO INSTITUCIONAL,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Nomeação/Destituição de Representante Municipal,015.1,Meio,PLANEJAMENTO INSTITUCIONAL,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Notificação/Auto de Infração,322,Fim,DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Pagamento de emolumentos cartorários,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Pessoa Jurídica com Visto Vencido,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Pessoa Jurídica Sem Visto/Registro,312,Fim,APURAÇÃO DE DENÚNCIA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Plano de Contratações Anual,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Pregão Eletrônico,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Pregão Presencial,018.1,Meio,CONTRATAÇÃO DE PESSOA JURÍDICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Prestação de Contas de Convênios,122,Fim,ARTICULAÇÕES POLÍTICAS,04 anos a partir do encerramento definitivo,Data de encerramento definitivo (sem renovação),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Prestação de Contas do Exercício,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Prestação de Contas Mensais,052.222,Meio,DESPESA DE CAPITAL,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Processo Eleitoral,014.3,Meio,VOTAÇÃO,Até a conclusão do processo eleitoral*,Data de envio ao arquivo digital (escaninho padrão),1 ano,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Processo Ético Disciplinar,321,Fim,DESCUMPRIMENTO ÀS NORMAS ÉTICAS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,20 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,Processos julgados sem penalidade podem ser eliminados após o prazo intermediário.
Processo Sancionador - Lei 14.133/2021,018.2,Meio,CONTRATAÇÃO DE PESSOA FÍSICA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Proposta de Reformulação Orçamentária,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Proposta de Remanejamento Orçamentário,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Proposta de Transposição Orçamentária,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Proposta Orçamentária,052.1,Meio,PROGRAMAÇÃO FINANCEIRA,Até a aprovação do RG pelo Plenário*,Aprovação do Relatório de Gestão pelo Plenário do CREA-GO (exercício do processo),10 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Prorrogação de Carteira Provisória,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Reativação de Registro de Pessoa Jurídica,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Reativação de Registro de Profissional,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Recadastramento de Cursos de Graduação,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Recadastramento de Cursos de Pós-graduação,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Recadastramento de Instituição de Ensino,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Recadastramento de Instituição de Ensino e Cursos,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Recadastramento de Profissional,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Registro de ART c/ isenção por Decisão Judicial – Servidores Estaduais,241,Fim,SOLICITAÇÃO E EMISSÃO DE RESPONSABILIDADE OU ATIVIDADE TÉCNICA,Enquanto vigora,Data de baixa/encerramento da ART,52 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,ART deferida: 52 anos. Indeferida: 1 ano.
Registro de Consórcio,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Registro de Entidade de Classe/Inst. de Ensino para Indicação de Conselheiro,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Registro de Pessoa Jurídica,221.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÕES CADASTRAIS. ALTERAÇÕES DE ATIVIDADES,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Registro Profissional/Expedição de Carteira - Registro Único,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Relatório de Constatação,311,Fim,INSPEÇÃO PERIÓDICA,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Relatório de Ocorrência,322,Fim,DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Relatório Matriz de Ocorrência,322,Fim,DESCUMPRIMENTO DE OUTROS DISPOSITIVOS LEGAIS,Até a conclusão administrativa ou trânsito em julgado,Data de conclusão/trânsito em julgado do processo,06 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Renovação do Terço do Plenário,014.3,Meio,VOTAÇÃO,Até a conclusão do processo eleitoral*,Data de envio ao arquivo digital (escaninho padrão),1 ano,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Representantes - Assessoria Institucional/Interior,015.1,Meio,PLANEJAMENTO INSTITUCIONAL,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Requisições LGPD Titular,002.11,Meio,PEDIDO DE ACESSO À INFORMAÇÃO E RECURSO,Até o encerramento do atendimento*,Data de envio ao arquivo digital (escaninho padrão),5 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
Revisão anual,015.2,Meio,ACOMPANHAMENTO DAS ATIVIDADES,5 anos,Data de envio ao arquivo digital (escaninho padrão),9 anos,Data de envio ao arquivo digital (escaninho padrão),Guarda Permanente,
Revisão de Atribuições,212.1,Fim,SOLICITAÇÃO DE REGISTRO. ALTERAÇÃO CADASTRAL. EXTENSÃO DE ATRIBUIÇÃO,Enquanto o registro estiver ativo,Data de cancelamento/encerramento definitivo do registro,15 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,Solicitações indeferidas: 7 anos.
Revisão de registro de Entidade de Classe/Inst. de Ensino,203,Fim,CADASTRAMENTO DE INSTITUIÇÕES DE ENSINO E CURSOS,Enquanto existir a instituição/curso,Data de extinção da instituição/curso,05 anos após a extinção,–,Eliminação,
Segunda Via de Carteira,232,Fim,EXPEDIÇÃO E CONTROLE DE DOCUMENTOS DE IDENTIFICAÇÃO PROFISSIONAL,01 ano,Data de envio ao arquivo digital (escaninho padrão),05 anos,Data de envio ao arquivo digital (escaninho padrão),Eliminação,
